District,Bedrooms,Price (Per Annum),Property Category,Property Type,Location,Scraped_At,Source
Kubwa,1,600000.0,Apartment,Self Contain,"Studio Apartment in Arab Road, Kubwa for rent",2026-05-30 13:25:47,Jiji
Kubwa,1,1500000.0,Apartment,Apartment,"1bdrm Block of Flats in Arab Road, Kubwa for rent",2026-05-30 13:25:47,Jiji
Life Camp,1,1200000.0,Apartment,Self Contain,"Studio Apartment in Efab City Estate, Life Camp for rent",2026-05-30 13:25:47,Jiji
Kubwa,1,1200000.0,Apartment,Apartment,"1bdrm Apartment in Arab Road, Kubwa for rent",2026-05-30 13:25:47,Jiji
Life Camp,2,1140000.0,Apartment,Apartment,Furnished 2bdrm Apartment in Life Camp for rent,2026-05-30 13:25:47,Jiji
Wuye,5,30000000.0,Duplex,Detached Duplex,5bdrm Duplex in Wuye for rent,2026-05-30 13:25:47,Jiji
Galadimawa,4,8000000.0,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Galadimawa for rent,2026-05-30 13:25:47,Jiji
Durumi,2,4000000.0,Apartment,Apartment,2bdrm Apartment in Durumi for rent,2026-05-30 13:25:47,Jiji
Life Camp,4,7000000.0,Duplex,Detached Duplex,4bdrm Duplex in Life Camp for rent,2026-05-30 13:25:47,Jiji
Jahi,1,5500000.0,Apartment,Apartment,Furnished 1bdrm Apartment in Jahi for rent,2026-05-30 13:25:47,Jiji
Jahi,3,8000000.0,Apartment,Apartment,"3bdrm Apartment in Nugget, Jahi for rent",2026-05-30 13:25:47,Jiji
Jabi,3,5000000.0,House,House,"3bdrm Bungalow in Efab City Estate, Jabi for rent",2026-05-30 13:25:47,Jiji
Maitama,3,20000000.0,Duplex,Terraced Duplex,3bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:25:47,Jiji
Asokoro,5,45000000.0,Duplex,Detached Duplex,5bdrm Duplex in Asokoro for rent,2026-05-30 13:25:47,Jiji
Lokogoma,4,5000000.0,Duplex,Detached Duplex,"4bdrm Duplex in Efab, Lokogoma for rent",2026-05-30 13:25:47,Jiji
Jabi,4,12000000.0,Duplex,Detached Duplex,4bdrm Duplex in Jabi for rent,2026-05-30 13:25:47,Jiji
Jahi,1,5500000.0,Apartment,Apartment,Furnished 1bdrm Apartment in Jahi for rent,2026-05-30 13:25:56,Jiji
Jahi,3,8000000.0,Apartment,Apartment,"3bdrm Apartment in Nugget, Jahi for rent",2026-05-30 13:25:56,Jiji
Jabi,3,5000000.0,House,House,"3bdrm Bungalow in Efab City Estate, Jabi for rent",2026-05-30 13:25:56,Jiji
Maitama,3,20000000.0,Duplex,Terraced Duplex,3bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:25:56,Jiji
Asokoro,5,45000000.0,Duplex,Detached Duplex,5bdrm Duplex in Asokoro for rent,2026-05-30 13:25:56,Jiji
Lokogoma,4,5000000.0,Duplex,Detached Duplex,"4bdrm Duplex in Efab, Lokogoma for rent",2026-05-30 13:25:56,Jiji
Jabi,4,12000000.0,Duplex,Detached Duplex,4bdrm Duplex in Jabi for rent,2026-05-30 13:25:56,Jiji
Galadimawa,5,13000000.0,Duplex,Detached Duplex,5bdrm Duplex in Galadimawa for rent,2026-05-30 13:25:56,Jiji
Asokoro,4,25000000.0,Apartment,Apartment,Furnished 4bdrm Apartment in Asokoro for rent,2026-05-30 13:25:56,Jiji
Utako,4,18000000.0,Duplex,Detached Duplex,4bdrm Duplex in Utako District for rent,2026-05-30 13:25:56,Jiji
