District,Bedrooms,Price (Per Annum),Property Category,Property Type,Location,Scraped_At
Kubwa,1,600000,Apartment,Self Contain,"Studio Apartment in Arab Road, Kubwa for rent",2026-05-30 13:25:47
Kubwa,1,1500000,Apartment,Apartment,"1bdrm Block of Flats in Arab Road, Kubwa for rent",2026-05-30 13:25:47
Life Camp,1,1200000,Apartment,Self Contain,"Studio Apartment in Efab City Estate, Life Camp for rent",2026-05-30 13:25:47
Kubwa,1,1200000,Apartment,Apartment,"1bdrm Apartment in Arab Road, Kubwa for rent",2026-05-30 13:25:47
Life Camp,2,1140000,Apartment,Apartment,Furnished 2bdrm Apartment in Life Camp for rent,2026-05-30 13:25:47
Wuye,5,30000000,Duplex,Detached Duplex,5bdrm Duplex in Wuye for rent,2026-05-30 13:25:47
Galadimawa,4,8000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Galadimawa for rent,2026-05-30 13:25:47
Durumi,2,4000000,Apartment,Apartment,2bdrm Apartment in Durumi for rent,2026-05-30 13:25:47
Life Camp,4,7000000,Duplex,Detached Duplex,4bdrm Duplex in Life Camp for rent,2026-05-30 13:25:47
Jahi,1,5500000,Apartment,Apartment,Furnished 1bdrm Apartment in Jahi for rent,2026-05-30 13:25:47
Jahi,3,8000000,Apartment,Apartment,"3bdrm Apartment in Nugget, Jahi for rent",2026-05-30 13:25:47
Jabi,3,5000000,House,House,"3bdrm Bungalow in Efab City Estate, Jabi for rent",2026-05-30 13:25:47
Maitama,3,20000000,Duplex,Terraced Duplex,3bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:25:47
Asokoro,5,45000000,Duplex,Detached Duplex,5bdrm Duplex in Asokoro for rent,2026-05-30 13:25:47
Lokogoma,4,5000000,Duplex,Detached Duplex,"4bdrm Duplex in Efab, Lokogoma for rent",2026-05-30 13:25:47
Jabi,4,12000000,Duplex,Detached Duplex,4bdrm Duplex in Jabi for rent,2026-05-30 13:25:47
Jahi,1,5500000,Apartment,Apartment,Furnished 1bdrm Apartment in Jahi for rent,2026-05-30 13:25:56
Jahi,3,8000000,Apartment,Apartment,"3bdrm Apartment in Nugget, Jahi for rent",2026-05-30 13:25:56
Jabi,3,5000000,House,House,"3bdrm Bungalow in Efab City Estate, Jabi for rent",2026-05-30 13:25:56
Maitama,3,20000000,Duplex,Terraced Duplex,3bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:25:56
Asokoro,5,45000000,Duplex,Detached Duplex,5bdrm Duplex in Asokoro for rent,2026-05-30 13:25:56
Lokogoma,4,5000000,Duplex,Detached Duplex,"4bdrm Duplex in Efab, Lokogoma for rent",2026-05-30 13:25:56
Jabi,4,12000000,Duplex,Detached Duplex,4bdrm Duplex in Jabi for rent,2026-05-30 13:25:56
Galadimawa,5,13000000,Duplex,Detached Duplex,5bdrm Duplex in Galadimawa for rent,2026-05-30 13:25:56
Asokoro,4,25000000,Apartment,Apartment,Furnished 4bdrm Apartment in Asokoro for rent,2026-05-30 13:25:56
Utako,4,18000000,Duplex,Detached Duplex,4bdrm Duplex in Utako District for rent,2026-05-30 13:25:56
Asokoro,2,15000000,Apartment,Apartment,"Furnished 2bdrm Apartment in Villa, Asokoro for rent",2026-05-30 13:25:56
Asokoro,2,15000000,House,House,2bdrm Bungalow in Asokoro for rent,2026-05-30 13:25:56
Asokoro,5,25000000,Duplex,Detached Duplex,5bdrm Duplex in Asokoro for rent,2026-05-30 13:25:56
Mabushi,4,12000000,House,House,4bdrm Penthouse in Mabushi for rent,2026-05-30 13:25:56
Maitama,5,50000000,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:25:56
Jabi,4,30000000,Duplex,Detached Duplex,4bdrm Duplex in Jabi for rent,2026-05-30 13:25:56
Durumi,2,60000000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Durumi for rent,2026-05-30 13:26:04
Asokoro,4,25000000,Apartment,Apartment,Furnished 4bdrm Apartment in Asokoro for rent,2026-05-30 13:26:04
Jabi,3,15000000,Duplex,Detached Duplex,3bdrm Duplex in Jabi for rent,2026-05-30 13:26:04
Gwarinpa,1,1054000,Apartment,Self Contain,Furnished Studio Apartment in Gwarinpa for rent,2026-05-30 13:26:04
Asokoro,2,15000000,Apartment,Apartment,"Furnished 2bdrm Apartment in Villa, Asokoro for rent",2026-05-30 13:26:04
Asokoro,2,15000000,House,House,2bdrm Bungalow in Asokoro for rent,2026-05-30 13:26:04
Mabushi,4,12000000,House,House,4bdrm Penthouse in Mabushi for rent,2026-05-30 13:26:04
Maitama,5,50000000,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:26:04
Jabi,4,30000000,Duplex,Detached Duplex,4bdrm Duplex in Jabi for rent,2026-05-30 13:26:04
Lokogoma,2,3999999,Apartment,Apartment,2bdrm Apartment in Lokogoma for rent,2026-05-30 13:26:04
Gwarinpa,1,450000,Apartment,Self Contain,Furnished Studio Apartment in Gwarinpa for rent,2026-05-30 13:26:04
Galadimawa,1,1100000,Apartment,Apartment,"1bdrm Apartment in Queen Street, Galadimawa for rent",2026-05-30 13:26:04
Karmo,4,6000000,Duplex,Terraced Duplex,"4bdrm Townhouse / Terrace in Estate, Karmo for rent",2026-05-30 13:26:04
Katampe,2,8000000,Apartment,Apartment,2bdrm Block of Flats in Katampe for rent,2026-05-30 13:26:04
Gwarinpa,4,20000000,Duplex,Detached Duplex,"4bdrm Duplex in 3Rd Avenue Gwarimpa, Gwarinpa for rent",2026-05-30 13:26:04
Maitama,4,50000000,Apartment,Apartment,4bdrm Block of Flats in Maitama for rent,2026-05-30 13:26:04
Wuye,2,4000000,Apartment,Apartment,"Furnished 2bdrm Apartment in Auta Ibrahim Street, Wuye for rent",2026-05-30 13:26:04
Lokogoma,1,3000000,Apartment,Apartment,1bdrm Block of Flats in Lokogoma for rent,2026-05-30 13:26:12
Wuye,2,7000000,Apartment,Apartment,2bdrm Apartment in Wuye for rent,2026-05-30 13:26:12
Jabi,5,25000000,Duplex,Detached Duplex,5bdrm Duplex in Jabi for rent,2026-05-30 13:26:12
Asokoro,2,18000000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Asokoro for rent,2026-05-30 13:26:12
Gwarinpa,1,658750,Apartment,Self Contain,Furnished Studio Apartment in Gwarinpa for rent,2026-05-30 13:26:12
Asokoro,4,40000000,Duplex,Detached Duplex,4bdrm Duplex in Asokoro for rent,2026-05-30 13:26:12
Jabi,3,7000000,House,House,"3bdrm Bungalow in Efab City Estate, Jabi for rent",2026-05-30 13:26:12
Gwarinpa,5,20000000,Duplex,Detached Duplex,"5bdrm Duplex in Efab Metropolis, Gwarinpa for rent",2026-05-30 13:26:12
Utako,5,60000000,Duplex,Detached Duplex,Furnished 5bdrm Duplex in Utako for rent,2026-05-30 13:26:12
Maitama,6,79999999,Duplex,Detached Duplex,6bdrm Duplex in Maitama for rent,2026-05-30 13:26:12
Idu,4,6500000,Duplex,Detached Duplex,4bdrm Duplex in Idu for rent,2026-05-30 13:26:12
Life Camp,4,16000000,Duplex,Detached Duplex,Furnished 4bdrm Duplex in Life Camp for rent,2026-05-30 13:26:12
Maitama,9,75000000,House,House,9bdrm Mansion in Maitama for rent,2026-05-30 13:26:12
Kubwa,1,600000,Apartment,Self Contain,"Furnished Studio Apartment in Freedom Avenue, Kubwa for rent",2026-05-30 13:26:19
Kubwa,1,45000000,Apartment,Apartment,1bdrm Apartment in Kubwa Estate for rent,2026-05-30 13:26:19
Maitama,3,49999999,Duplex,Detached Duplex,3bdrm Duplex in Maitama for rent,2026-05-30 13:26:19
Gwarinpa,4,8500000,House,House,"4bdrm Bungalow in Mab Global, Gwarinpa for rent",2026-05-30 13:26:19
Galadimawa,5,13000000,Duplex,Detached Duplex,5bdrm Duplex in Galadimawa for rent,2026-05-30 13:26:19
Jabi,4,20000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Jabi for rent,2026-05-30 13:26:19
Wuye,2,6500000,Apartment,Apartment,2bdrm Block of Flats in Wuye for rent,2026-05-30 13:26:19
Maitama,5,25000000,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:26:19
Jahi,3,75000000,Apartment,Apartment,3bdrm Block of Flats in Jahi for rent,2026-05-30 13:26:19
Life Camp,2,5000000,Apartment,Apartment,2bdrm Apartment in Lifecamp for rent,2026-05-30 13:26:19
Gwarinpa,4,15000000,Duplex,Detached Duplex,"4bdrm Duplex in Qwarimpa, Gwarinpa for rent",2026-05-30 13:26:19
Durumi,3,4000000,Apartment,Apartment,"3bdrm Apartment in Gowan Street, Durumi for rent",2026-05-30 13:26:19
Lokogoma,2,3000000,Apartment,Apartment,"Furnished 2bdrm Apartment in City Homes, Lokogoma for rent",2026-05-30 13:26:19
Jahi,3,10000000,Duplex,Terraced Duplex,3bdrm Townhouse / Terrace in Jahi for rent,2026-05-30 13:26:19
Galadimawa,5,13000000,Duplex,Detached Duplex,5bdrm Duplex in Galadimawa for rent,2026-05-30 13:26:28
Galadimawa,4,8000000,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in Levi Estate, Galadimawa for rent",2026-05-30 13:26:28
Mabushi,5,200000000,Duplex,Detached Duplex,5bdrm Duplex in Mabushi Close To for rent,2026-05-30 13:26:28
Maitama,5,25000000,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:26:28
Gwarinpa,4,15000000,Duplex,Detached Duplex,"4bdrm Duplex in Qwarimpa, Gwarinpa for rent",2026-05-30 13:26:28
Life Camp,2,5000000,Apartment,Apartment,2bdrm Apartment in Lifecamp for rent,2026-05-30 13:26:28
Durumi,3,4000000,Apartment,Apartment,"3bdrm Apartment in Gowan Street, Durumi for rent",2026-05-30 13:26:28
Lokogoma,2,3000000,Apartment,Apartment,"Furnished 2bdrm Apartment in City Homes, Lokogoma for rent",2026-05-30 13:26:28
Gwarinpa,2,5000000,Apartment,Apartment,"2bdrm Block of Flats in Gwarimpa, Gwarinpa for rent",2026-05-30 13:26:28
Mabushi,5,30000000,Duplex,Detached Duplex,5bdrm Duplex in Mabushi for rent,2026-05-30 13:26:28
Mabushi,2,8000000,Apartment,Apartment,2bdrm Apartment in Mabushi for rent,2026-05-30 13:26:28
Life Camp,2,9000000,Apartment,Apartment,"Furnished 2bdrm Apartment in Bristol Apartments, Life Camp for rent",2026-05-30 13:26:28
Jahi,2,8000000000,Apartment,Apartment,2bdrm Apartment in Jahi for rent,2026-05-30 13:26:28
Galadimawa,1,1100000,Apartment,Apartment,"1bdrm Apartment in Queen Street, Galadimawa for rent",2026-05-30 13:26:28
Gwarinpa,2,4200000,House,House,"2bdrm Bungalow in Dantata Estate, Gwarinpa for rent",2026-05-30 13:26:28
Asokoro,7,180000000,Duplex,Detached Duplex,7bdrm Duplex in Asokoro for rent,2026-05-30 13:26:28
Karmo,4,6000000,Duplex,Terraced Duplex,"4bdrm Townhouse / Terrace in Estate, Karmo for rent",2026-05-30 13:26:28
Gwarinpa,4,20000000,Duplex,Detached Duplex,"4bdrm Duplex in 3Rd Avenue Gwarimpa, Gwarinpa for rent",2026-05-30 13:26:35
Gaduwa,3,6000000,Apartment,Apartment,3bdrm Block of Flats in Gaduwa for rent,2026-05-30 13:26:35
Jahi,5,30000000,Duplex,Detached Duplex,Furnished 5bdrm Duplex in Jahi for rent,2026-05-30 13:26:35
Maitama,3,20500000,Duplex,Detached Duplex,"3bdrm Duplex in Hamptons, Maitama for rent",2026-05-30 13:26:35
Lokogoma,2,8000000,House,House,Furnished 2bdrm House in Pentville Estate for rent,2026-05-30 13:26:35
Jahi,4,10000000,Duplex,Detached Duplex,4bdrm Duplex in Jahi for rent,2026-05-30 13:26:35
Durumi,1,5000000,Apartment,Apartment,"Furnished 1bdrm Apartment in Iyoba Apartment, Durumi for rent",2026-05-30 13:26:35
Jahi,3,11500000,Apartment,Apartment,3bdrm Apartment in Jahi for rent,2026-05-30 13:26:35
Utako,2,4000000,Apartment,Apartment,Furnished 2bdrm Apartment in Utako for rent,2026-05-30 13:26:35
Gwarinpa,5,10000000,Duplex,Detached Duplex,"5bdrm Duplex in Orange Estate Off, Gwarinpa for rent",2026-05-30 13:26:35
Jabi,3,14000000,Apartment,Apartment,"Furnished 3bdrm Block of Flats in Vintage Villas, Jabi for rent",2026-05-30 13:26:43
Asokoro,6,30000000,Duplex,Detached Duplex,"6bdrm Duplex in Naf Valley Estate, Asokoro for rent",2026-05-30 13:26:43
Gwarinpa,1,1500000,Apartment,Apartment,"Mini Flat in Gwarimpa Estate, Gwarinpa for rent",2026-05-30 13:26:43
Mabushi,3,10000000,Apartment,Apartment,"3bdrm Apartment in Victoria Garden, Mabushi for rent",2026-05-30 13:26:43
Life Camp,4,9000000,Duplex,Detached Duplex,4bdrm Duplex in Life Camp for rent,2026-05-30 13:26:43
Asokoro,4,17000000,Duplex,Detached Duplex,4bdrm Duplex in Asokoro for rent,2026-05-30 13:26:43
Durumi,1,5500000,Apartment,Apartment,"Furnished 1bdrm Apartment in Iyoba Apartment, Durumi for rent",2026-05-30 13:26:43
Gudu,4,13000000,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in Rockvale Manor, Gudu for rent",2026-05-30 13:26:43
Utako,3,15000000,Duplex,Detached Duplex,3bdrm Duplex in Utako for rent,2026-05-30 13:26:43
Maitama,4,30000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:26:43
Kado,3,18000000,House,House,Furnished 3bdrm Bungalow in Kado Estate Phase 1 for rent,2026-05-30 13:26:43
Maitama,4,40000000,Duplex,Terraced Duplex,Furnished 4bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:26:43
Life Camp,4,25000000,Duplex,Detached Duplex,4bdrm Duplex in Life Camp for rent,2026-05-30 13:26:43
Maitama,5,28000000,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:26:51
Kubwa,4,9000000,Duplex,Detached Duplex,Furnished 4bdrm Duplex in Hill View Community for rent,2026-05-30 13:26:51
Galadimawa,4,8000000,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in Levi Estate, Galadimawa for rent",2026-05-30 13:26:51
Jabi,3,200000000,Apartment,Apartment,3bdrm Apartment in Jabi for rent,2026-05-30 13:26:51
Asokoro,4,28000000,Duplex,Detached Duplex,4bdrm Duplex in Asokoro Fct for rent,2026-05-30 13:26:51
Wuye,4,18000000,Duplex,Detached Duplex,4bdrm Duplex in Wuye for rent,2026-05-30 13:26:51
Asokoro,2,10000000,House,House,"2bdrm Bungalow in Abuja, Asokoro for rent",2026-05-30 13:26:51
Mabushi,3,12000000,Apartment,Apartment,3bdrm Apartment in Mabushi for rent,2026-05-30 13:26:51
Jahi,2,19000000,Apartment,Apartment,Furnished 2bdrm Apartment in Jahi for rent,2026-05-30 13:26:51
Galadimawa,5,10000000,House,House,"5bdrm Bungalow in Suncity Estate, Galadimawa for rent",2026-05-30 13:26:51
Gudu,3,13000000,Duplex,Detached Duplex,"Furnished 3bdrm Duplex in Rockvale Manors, Gudu for rent",2026-05-30 13:26:51
Jabi,2,42000000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Jabi for rent,2026-05-30 13:26:51
Life Camp,4,16000000,Duplex,Detached Duplex,"4bdrm Duplex in Tangerine Exquisite, Life Camp for rent",2026-05-30 13:26:51
Maitama,3,25000000,Apartment,Apartment,3bdrm Block of Flats in Maitama Property for rent,2026-05-30 13:26:51
Kubwa,1,1200000,Apartment,Self Contain,"Studio Apartment in Arab Road, Kubwa for rent",2026-05-30 13:26:57
Kubwa,1,2000000,Apartment,Apartment,"1bdrm Block of Flats in Hillview Estate, Kubwa for rent",2026-05-30 13:26:57
Utako,1,2000000,Apartment,Self Contain,Studio Apartment in Utako for rent,2026-05-30 13:26:57
Kubwa,3,4000000,Duplex,Detached Duplex,"3bdrm Duplex in Hillview Estate, Kubwa for rent",2026-05-30 13:26:57
Maitama,7,50000000,Duplex,Detached Duplex,7bdrm Duplex in Maitama for rent,2026-05-30 13:26:57
