Bedrooms,Bedrooms(category),Property Category,Price,Price(with currency),District,Scraped_At
1,1 bedroom,"Studio Apartment in Arab Road, Kubwa for rent",600000,"₦ 600,000",Kubwa,2026-05-30 13:25:47
1,1 bedroom,"1bdrm Block of Flats in Arab Road, Kubwa for rent",1500000,"₦ 1,500,000",Kubwa,2026-05-30 13:25:47
1,1 bedroom,"Studio Apartment in Efab City Estate, Life Camp for rent",1200000,"₦ 1,200,000",Life Camp,2026-05-30 13:25:47
1,1 bedroom,"Furnished 1bdrm Apartment in Las Colinas Villa, Bunkoro for rent",1250000,"₦ 1,250,000",Bunkoro,2026-05-30 13:25:47
1,1 bedroom,"1bdrm Apartment in Arab Road, Kubwa for rent",1200000,"₦ 1,200,000",Kubwa,2026-05-30 13:25:47
2,2 bedrooms,Furnished 2bdrm Apartment in Life Camp for rent,1140000,"₦ 1,140,000",Life Camp,2026-05-30 13:25:47
5,5 bedrooms,5bdrm Duplex in Wuye for rent,30000000,"₦ 30,000,000",Wuye,2026-05-30 13:25:47
4,4 bedrooms,4bdrm Townhouse / Terrace in Galadimawa for rent,8000000,"₦ 8,000,000",Galadimawa,2026-05-30 13:25:47
1,1 bedroom,"Furnished Studio Apartment in Luxury Studio, Garki 2 for rent",3200000,"₦ 3,200,000",Garki 2,2026-05-30 13:25:47
2,2 bedrooms,2bdrm Apartment in Durumi for rent,4000000,"₦ 4,000,000",Durumi,2026-05-30 13:25:47
4,4 bedrooms,4bdrm Duplex in Life Camp for rent,7000000,"₦ 7,000,000",Life Camp,2026-05-30 13:25:47
1,1 bedroom,Furnished 1bdrm Apartment in Jahi for rent,5500000,"₦ 5,500,000",Jahi,2026-05-30 13:25:47
2,2 bedrooms,"2bdrm Block of Flats in Non, Sabon Lugbe for rent",3500000,"₦ 3,500,000",Sabon Lugbe,2026-05-30 13:25:47
3,3 bedrooms,"3bdrm Apartment in Nugget, Jahi for rent",8000000,"₦ 8,000,000",Jahi,2026-05-30 13:25:47
3,3 bedrooms,"3bdrm Bungalow in Efab City Estate, Jabi for rent",5000000,"₦ 5,000,000",Jabi,2026-05-30 13:25:47
3,3 bedrooms,3bdrm Townhouse / Terrace in Maitama for rent,20000000,"₦ 20,000,000",Maitama,2026-05-30 13:25:47
3,3 bedrooms,"3bdrm Block of Flats in Sunnyside Homes, Sabon Lugbe for rent",3000000,"₦ 3,000,000",Sabon Lugbe,2026-05-30 13:25:47
5,5 bedrooms,5bdrm Duplex in Asokoro for rent,45000000,"₦ 45,000,000",Asokoro,2026-05-30 13:25:47
4,4 bedrooms,"4bdrm Duplex in Efab, Lokogoma for rent",5000000,"₦ 5,000,000",Lokogoma,2026-05-30 13:25:47
