Property Category,Price (Per Annum),Location,Scraped_At
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja",2026-06-01 11:07:00
2 bedroom flat / apartment for rent,"₦6,000,000","Jabi, Abuja",2026-06-01 11:07:00
3 bedroom detached bungalow for rent,"₦12,000,000","Lifecamp Main By Kado Round About, Life Camp, Abuja",2026-06-01 11:07:00
3 bedroom flat / apartment for rent,"₦6,000,000","Idu Industrial, Abuja",2026-06-01 11:07:00
Office space for rent,"₦180,000,000","Wuse 2, Abuja",2026-06-01 11:07:00
5 bedroom terraced duplex for rent,"₦15,000,000","Citec, Jabi, Abuja",2026-06-01 11:07:00
4 bedroom terraced duplex for rent,"₦5,000,000","Von Axis, Lugbe District, Abuja",2026-06-01 11:07:00
3 bedroom terraced duplex for rent,"₦15,000,000","Jabi, Abuja",2026-06-01 11:07:00
2 bedroom flat / apartment for rent,"₦4,000,000","Before The Turkish Hospital, Idu Industrial, Abuja",2026-06-01 11:07:00
1 bedroom flat / apartment for rent,"₦2,500,000","News Engineering, Dawaki, Gwarinpa, Abuja",2026-06-01 11:07:00
Commercial property for rent,"₦4,000,000","6th Avenue, Gwarinpa, Abuja",2026-06-01 11:07:00
1 bedroom mini flat (room and parlour) for rent,"₦4,000,000","Brains And Hammer City, Life Camp, Abuja",2026-06-01 11:07:00
3 bedroom flat / apartment for rent,"₦15,000,000","Jahi, Jahi, Abuja",2026-06-01 11:07:00
1 bedroom flat / apartment for rent,"₦5,500,000","Wuse Zone 5, Wuse, Abuja",2026-06-01 11:07:00
2 bedroom detached bungalow for rent,"₦2,800,000","Light Gold Estate Lugbe Abuja, Sabon Lugbe, Lugbe District, Abuja",2026-06-01 11:07:00
4 bedroom terraced duplex for rent,"₦10,000,000","Mpape, Maitama 2, Maitama District, Abuja",2026-06-01 11:07:00
2 bedroom flat / apartment for rent,"₦5,700,000","Estate Scheme 1)* Opposite The Abuja Intl Airport Flyover Bridge, Lugbe District, Abuja",2026-06-01 11:07:00
4 bedroom detached duplex for rent,"₦20,000,000","Katampe Extension, Katampe Extension, Katampe, Abuja",2026-06-01 11:07:00
6 bedroom terraced duplex for rent,"₦25,000,000","Katampe Extension, Katampe, Abuja",2026-06-01 11:07:00
4 bedroom terraced duplex for rent,"₦13,500,000","Apo Dutse Opposite Cedarcrest Hospital, Apo, Abuja",2026-06-01 11:07:00
2 bedroom flat / apartment for rent,"₦5,500,000","Katampe Main Behind Aso Radio, Katampe, Abuja",2026-06-01 11:07:00
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja",2026-06-01 11:07:08
4 bedroom terraced duplex for rent,"₦10,000,000","Legistlative Quatres, Apo, Abuja",2026-06-01 11:07:08
4 bedroom terraced duplex for rent,"₦25,000,000","Asokoro District, Abuja",2026-06-01 11:07:08
3 bedroom flat / apartment for rent,"₦5,000,000","By American International School, Durumi, Abuja",2026-06-01 11:07:08
4 bedroom terraced duplex for rent,"₦15,000,000","Mabushi, Abuja",2026-06-01 11:07:08
3 bedroom terraced duplex for rent,"₦10,000,000","By Cedacrest, Apo, Abuja",2026-06-01 11:07:08
4 bedroom terraced duplex for rent,"₦12,000,000","Mabushi, Abuja",2026-06-01 11:07:08
4 bedroom terraced duplex for rent,"₦12,000,000","Mabushi, Abuja",2026-06-01 11:07:08
3 bedroom terraced duplex for rent,"₦12,000,000","Gilmore Area, Jahi, Abuja",2026-06-01 11:07:08
3 bedroom flat / apartment for rent,"₦5,000,000","Mabushi, Abuja",2026-06-01 11:07:08
3 bedroom flat / apartment for rent,"₦13,000,000","Jabi, Abuja",2026-06-01 11:07:08
3 bedroom flat / apartment for rent,"₦10,000,000","Jabi, Abuja",2026-06-01 11:07:08
2 bedroom flat / apartment for rent,"₦6,000,000","Wuye, Abuja",2026-06-01 11:07:08
2 bedroom flat / apartment for rent,"₦4,500,000","Life Camp, Abuja",2026-06-01 11:07:08
5 bedroom terraced duplex for rent,"₦15,000,000","Guzape District, Abuja",2026-06-01 11:07:08
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Apo, Abuja",2026-06-01 11:07:08
1 bedroom mini flat (room and parlour) for rent,"₦3,000,000","Bitmore Estate Behind Suncity, Galadimawa, Abuja",2026-06-01 11:07:08
1 bedroom mini flat (room and parlour) for rent,"₦1,500,000","Kubwa, Abuja",2026-06-01 11:07:08
2 bedroom flat / apartment for rent,"₦7,500,000","Jahi, Abuja",2026-06-01 11:07:08
4 bedroom terraced duplex for rent,"₦11,000,000","Close To Apo Legislative Quarters, Gudu, Abuja",2026-06-01 11:07:08
Self contain (single rooms) for rent,"₦1,500,000","Zone 2, Wuse, Abuja",2026-06-01 11:07:08
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja",2026-06-01 11:07:15
3 bedroom flat / apartment for rent,"₦8,000,000","Katampe Main, Katampe, Abuja",2026-06-01 11:07:15
2 bedroom flat / apartment for rent,"₦4,500,000","Apo-dutse By Cedacrest Hospital, Apo, Abuja",2026-06-01 11:07:15
Office space for rent,"₦45,000,000","Asokoro District, Abuja",2026-06-01 11:07:15
2 bedroom flat / apartment for rent,"₦6,000,000","Jabi, Abuja",2026-06-01 11:07:15
1 bedroom flat / apartment for rent,"₦4,000,000","By El Amin School, Maitama District, Abuja",2026-06-01 11:07:15
5 bedroom flat / apartment for rent,"₦20,000,000","Diplomatic Zones, Katampe Extension, Katampe, Abuja",2026-06-01 11:07:15
5 bedroom detached duplex for rent,"₦100,000,000","Maitama District, Abuja",2026-06-01 11:07:15
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Apo, Abuja",2026-06-01 11:07:15
4 bedroom terraced duplex for rent,"₦18,000,000","Jahi, Abuja",2026-06-01 11:07:15
Self contain (single rooms) for rent,"₦2,000,000","Sahara Estate, Gwarinpa, Abuja",2026-06-01 11:07:15
1 bedroom flat / apartment for rent,"₦1,500,000","FO1 Layout, Kubwa, Abuja",2026-06-01 11:07:15
1 bedroom flat / apartment for rent,"₦2,300,000","Karu, Abuja",2026-06-01 11:07:15
3 bedroom flat / apartment for rent,"₦13,000,000","By Diplomatic Zone, Katampe Extension, Katampe, Abuja",2026-06-01 11:07:15
Self contain (single rooms) for rent,"₦650,000","Close To Kabusa Gardens Estate Along Sunnyvale Junction Road, Lokogoma District, Abuja",2026-06-01 11:07:15
3 bedroom detached bungalow for rent,"₦5,000,000","Efab Sunshine Apo Wasa After Primary, Apo, Abuja",2026-06-01 11:07:15
3 bedroom house for rent,"₦11,000,000","Katampe (Main), Katampe, Abuja",2026-06-01 11:07:15
4 bedroom terraced duplex for rent,"₦17,000,000","Jahi Gilmore, Jahi, Abuja",2026-06-01 11:07:15
3 bedroom flat / apartment for rent,"₦7,500,000","Jahi, Abuja",2026-06-01 11:07:15
3 bedroom flat / apartment for rent,"₦10,000,000","Jahi, Abuja",2026-06-01 11:07:15
2 bedroom flat / apartment for rent,"₦4,500,000","Jahi, Abuja",2026-06-01 11:07:15
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja",2026-06-01 11:07:22
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo Abuja, Apo, Abuja",2026-06-01 11:07:22
2 bedroom flat / apartment for rent,"₦6,000,000","Inside A Well Secured Estate In Apo Nepa By Cedercrest Hospital, Apo, Abuja",2026-06-01 11:07:22
4 bedroom semi-detached duplex for rent,"₦11,000,000","Gudu, Abuja",2026-06-01 11:07:22
2 bedroom flat / apartment for rent,"₦6,000,000","Jabi, Abuja",2026-06-01 11:07:22
Self contain (single rooms) for rent,"₦1,000,000","Seman Estate Behind Dunamis Church, Lugbe, Lugbe District, Abuja",2026-06-01 11:07:22
5 bedroom detached duplex for rent,"₦15,000,000","Citygate Estate, Kukwaba, Abuja",2026-06-01 11:07:22
3 bedroom flat / apartment for rent,"₦9,000,000","Katampe (Main), Katampe, Abuja",2026-06-01 11:07:22
2 bedroom flat / apartment for rent,"₦5,000,000","Katampe, Abuja",2026-06-01 11:07:22
3 bedroom flat / apartment for rent,"₦15,000,000","Guzape District, Abuja",2026-06-01 11:07:22
3 bedroom flat / apartment for rent,"₦10,000,000","Wuse 2, Abuja",2026-06-01 11:07:22
4 bedroom detached duplex for rent,"₦10,000,000","Estate Tarred Road Near Main Road, Lokogoma District, Abuja",2026-06-01 11:07:22
3 bedroom flat / apartment for rent,"₦9,500,000","In A Secured Estate, Guzape District, Abuja",2026-06-01 11:07:22
4 bedroom terraced duplex for rent,"₦20,000,000","Guzape District, Abuja",2026-06-01 11:07:22
5 bedroom terraced duplex for rent,"₦35,000,000","Guzape District, Abuja",2026-06-01 11:07:22
5 bedroom terraced duplex for rent,"₦30,000,000","Guzape District, Abuja",2026-06-01 11:07:22
5 bedroom detached duplex for rent,"₦18,000,000","Godab Estate, Life Camp, Abuja",2026-06-01 11:07:22
5 bedroom detached duplex for rent,"₦12,000,000","4th Avenue, Gwarinpa, Abuja",2026-06-01 11:07:22
3 bedroom detached duplex for rent,"₦15,000,000","Jabi Main, Jabi, Abuja",2026-06-01 11:07:22
3 bedroom flat / apartment for rent,"₦10,000,000","Jahi, Abuja",2026-06-01 11:07:22
4 bedroom detached duplex for rent,"₦10,000,000","Lokogoma District, Abuja",2026-06-01 11:07:22
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja",2026-06-01 11:07:29
Shop for rent,"₦5,000,000","Gwarinpa, Abuja",2026-06-01 11:07:29
4 bedroom terraced duplex for rent,"₦9,000,000","Peachville Estate, Beside Kingscourt Estate, Dakibiyu, Jabi, Abuja",2026-06-01 11:07:29
3 bedroom flat / apartment for rent,"₦7,500,000","Jahi, Abuja",2026-06-01 11:07:29
