Property Category,Price (Per Annum),Location,Scraped_At
Newly Built Furnished&serviced 2&3 Bed Block Of Flat,"$ 45,000",Maitama By Fruit Market Maitama Abuja,2026-06-01 11:33:21
4 Bedroom Cornerpiece Terrace Duplex Mabushi,"₦ 20,000,000/year",Mabushi Abuja,2026-06-01 11:33:21
2 Bedroom Apartment,"₦ 8,500,000/year",Nnpc Estate Life Camp Abuja,2026-06-01 11:33:21
Beautiful And Well Finished 4bedroom Terrace With Bq,"₦ 20,000,000",Katampe Extention Diplomatic Zone Katampe Extension Katampe Abuja,2026-06-01 11:33:21
6 Bedroom Detached Duplex With Bq,"₦ 45,000,000/year",Near Amigo Wuse 2 Abuja,2026-06-01 11:33:21
4 Bedroom Terraced Duplex With 2 Bq,"₦ 20,000,000/year","Katampe Extention Diplomatic Zone, Katampe Extension Katampe Abuja",2026-06-01 11:33:21
4 Bedroom Terrace Duplex,"₦ 15,000,000/year",Guzape Abuja,2026-06-01 11:33:21
Spacious 4 Bedroom Terraced Duplex With Bq,"₦ 12,000,000/year",Durumi Abuja,2026-06-01 11:33:21
4 Bedroom Terrace Duplex Bq/pool,"₦ 15,000,000/year","American International School, Durumi Abuja",2026-06-01 11:33:21
Beautiful And Spacious 4bedroom Terrace With Bq,"₦ 16,000,000",Kado Kado Abuja,2026-06-01 11:33:21
"1,000 20,000 Sqmtrs Industrial Land/ Warehouse","₦ 1,500,000/sqm",Guiness Oba Akran Ikeja Lagos,2026-06-01 11:33:21
Spacious 4 Bedroom Terraced Duplex,"₦ 7,500,000/year",Life Camp Abuja,2026-06-01 11:33:21
4 Units Of 4 Bedroom Semi Detached Duplex,"₦ 60,000,000/year",Area 1 Durumi Abuja,2026-06-01 11:33:21
4 Bedroom Terrace Duplex With Bq,"₦ 13,000,000/year",Life Camp Abuja,2026-06-01 11:33:21
Beautiful And Very Spacious 3bedroom Apartment,"₦ 10,000,000",Jahi By Aduvie Jahi Abuja,2026-06-01 11:33:21
4 Bedroom Terrace Duplex With Bq,"₦ 12,000,000/year",Gwarinpa Abuja,2026-06-01 11:33:21
4 Bedroom Semi Detached Duplex,"₦ 14,000,000/year",Life Camp Abuja,2026-06-01 11:33:21
6 Bedroom Detached Duplex With Bq,"₦ 35,000,000/year",Guzape Abuja,2026-06-01 11:33:21
4 Bedroom Terrace Duplex With Bq,"₦ 16,000,000/year",Gilmore Jahi Abuja,2026-06-01 11:33:21
3 Bedroom Apartment,"₦ 10,000,000/year",Guzape Abuja,2026-06-01 11:33:21
Newly Built 4 Bedroom Terraced Duplex With Bq,"₦ 15,000,000/year",Jahi Abuja,2026-06-01 11:33:21
Room Self Contained,"₦ 1,500,000/year",Life Camp Abuja,2026-06-01 11:33:21
Newly Built Furnished&serviced 2&3 Bed Block Of Flat,"$ 45,000",Maitama By Fruit Market Maitama Abuja,2026-06-01 11:33:31
Newly Built 4 Bedroom Terraced Duplex,"₦ 9,000,000/year",Life Camp Abuja,2026-06-01 11:33:31
Newly Built 5 Bedroom Terrace Duplex With Bq,"₦ 25,000,000/year",Wuye Abuja,2026-06-01 11:33:31
4 Bedroom Flat,"₦ 15,000,000/year",Maitama Abuja,2026-06-01 11:33:31
4 Bedroom Terrace Duplex With Bq,"₦ 15,000,000/year",Near Coza Guzape Abuja,2026-06-01 11:33:31
6 Units Of 3 Bedroom Flat,"₦ 72,000,000/year",Gilmore Jahi Abuja,2026-06-01 11:33:31
Newly Built 4 Bedroom Terrace Duplex With Bq,"₦ 10,000,000/year",Life Camp Life Camp Abuja,2026-06-01 11:33:31
6 Bedroom Terraced Duplex,"₦ 25,000,000/year","Katampe Extension, Katampe Abuja",2026-06-01 11:33:31
5 Bedroom Terraced Duplex With Boy's Quarters,"₦ 20,000,000/year",Jahi Abuja,2026-06-01 11:33:31
Luxurious 4 Bedroom Detached Duplex With 2 Bq,"₦ 30,000,000/year","Close To Ncdc, Gaduwa Abuja",2026-06-01 11:33:31
500sqm Plot For Sale At Ketu Epe,"₦ 10,800,000",Ketu Epe Near Lagos State Logistics Park Epe Lagos,2026-06-01 11:33:31
4 Bedroom Semi Detached Duplex,"₦ 10,000,000/year","Kaura, Close To Galadimawa Kaura (games Village) Abuja",2026-06-01 11:33:31
Serviced 3 Bedroom Apartment,"₦ 12,000,000/year",Near Coza Guzape Abuja,2026-06-01 11:33:31
