Property Type,Price (Per Annum),Location
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
1 bedroom flat / apartment for rent,"₦7,000,000","Gilmore, Jahi, Abuja"
Shop for rent,"₦5,500,000","4th Avenue, Gwarinpa, Abuja"
Self contain (single rooms) for rent,"₦1,300,000","By American International School, Durumi, Abuja"
5 bedroom detached duplex for rent,"₦60,000,000","Guzape, Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦5,500,000","Karmo, Abuja"
3 bedroom flat / apartment for rent,"₦45,000,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦35,000,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦50,000,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦25,000,000","Guzape District, Abuja"
2 bedroom flat / apartment for rent,"₦21,000,000","Guzape District, Abuja"
4 bedroom detached duplex for rent,"₦23,000,000","Mabushi, Abuja"
Plaza / complex / mall for rent,"₦20,000,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦15,000,000","Asokoro District, Abuja"
Warehouse for rent,"₦38,500,000","Idu Industrial, Abuja"
7 bedroom semi-detached duplex for rent,"₦25,000,000","By Judges Quarters, Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Jahi, Abuja"
1 bedroom house for rent,"₦2,500,000","By Minfa Estate, Lokogoma District, Abuja"
Self contain (single rooms) for rent,"₦2,000,000","News Engineering, Dawaki, Gwarinpa, Abuja"
1 bedroom flat / apartment for rent,"₦3,500,000","News Engineering, Dawaki, Gwarinpa, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
1 bedroom flat / apartment for rent,"₦3,500,000","News Engineering, Dawaki, Gwarinpa, Abuja"
2 bedroom flat / apartment for rent,"₦10,000,000","Naf Valley Estate Asokoro, Asokoro District, Abuja"
3 bedroom flat / apartment for rent,"₦11,000,000","Katampe (Main), Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦6,000,000","Close To Nzamiye Hospital, Idu Industrial, Abuja"
Residential land for rent,"₦180,000,000","Maitama Extension (mpape), Mpape, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Apo Resettlements, Apo Resettlement, Apo, Abuja"
1 bedroom flat / apartment for rent,"₦1,100,000","Dawaki, Gwarinpa, Abuja"
4 bedroom detached duplex for rent,"₦13,000,000","Apo Wumba District Along Lokogoma Expressway, Apo, Abuja"
4 bedroom detached duplex for rent,"₦13,000,000","Apo Wumba, Along Lokogoma Expressway, Apo, Abuja"
3 bedroom flat / apartment for rent,"₦15,000,000","Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","By New Judges Quarters In An Estate, Katampe (Main), Katampe, Abuja"
4 bedroom semi-detached duplex for rent,"₦40,000,000","Nice Location At Maitama, Maitama District, Abuja"
6 bedroom terraced duplex for rent,"₦22,000,000","Katampe Extension Main, Katampe Extension, Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦7,500,000","Jahi After Aduvei International School, Jahi, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦3,000,000","After 6th Avenue Gwarinpa Extension, Gwarinpa, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","B&h City, Paradise-ochacho Road, Life Camp, Abuja"
Self contain (single rooms) for rent,"₦1,000,000","Off Gilbert Chikelu Crescent, Guzape District, Abuja"
Plaza / complex / mall for rent,"₦600,000","Wuye, Abuja"
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo Abuja, Apo, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","Katampe (Main), Katampe, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Jahi, Jahi, Abuja"
3 bedroom semi-detached duplex for rent,"₦12,000,000","Apo Abuja, Apo, Abuja"
3 bedroom flat / apartment for rent,"₦8,500,000","Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Mabushi, Abuja"
5 bedroom terraced duplex for rent,"₦28,000,000","Wuse, Abuja"
3 bedroom terraced duplex for rent,"₦18,000,000","Jahi, Abuja"
4 bedroom terraced duplex for rent,"₦18,000,000","Jahi, Abuja"
10 bedroom detached duplex for rent,"₦50,000,000","Wuse, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Guzape District, Abuja"
5 bedroom detached duplex for rent,"₦75,000,000","Wuse 2, Abuja"
3 bedroom house for rent,"₦15,000,000","Katampe, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦2,000,000","Nelox Estate  By Pyakassa Rd Along Redeem Estate/diamond Est, Pyakasa, Lugbe District, Abuja"
4 bedroom terraced duplex for rent,"₦12,000,000","Main, Wuye, Abuja"
Office space for rent,"₦7,000,000","Coza, Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Jahi Gilmore, Jahi, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Jahi By Aduvei School, Jahi, Abuja"
4 bedroom terraced duplex for rent,"₦13,500,000","Wuye Main, Wuye, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","By Zartech Supermarket, Wuye, Abuja"
4 bedroom detached duplex for rent,"₦10,000,000","Nelox Estate  By Pyakassa Rd Along Redeem Estate/diamond Est, Pyakasa, Lugbe District, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Jahi, Abuja"
4 bedroom detached bungalow for rent,"₦15,000,000","Garki, Abuja"
6 bedroom detached duplex for rent,"₦500,000,000","Asokoro District, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","News Engineering, Dawaki, Gwarinpa, Abuja"
Commercial land for rent,"₦30,000,000","By Jabi Garage(tarred Rd, Jabi, Abuja"
2 bedroom flat / apartment for rent,"₦6,500,000","Wuye, Wuye, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Gimbya, Area 11, Garki, Abuja"
4 bedroom terraced duplex for rent,"$50,000","Asokoro District, Abuja"
Self contain (single rooms) for rent,"₦1,600,000","Second Avenue, Gwarinpa, Abuja"
5 bedroom detached duplex for rent,"₦30,000,000","Guzape District, Abuja"
4 bedroom flat / apartment for rent,"₦20,000,000","Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦10,000,000","Apo Legislative Qtr,( Zone A) Tarred Rd, Garki, Abuja"
2 bedroom flat / apartment for rent,"₦15,000,000","Asokoro District, Abuja"
3 bedroom house for rent,"₦10,000,000","Apo, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Guzape District, Abuja"
4 bedroom house for rent,"₦180,000,000","Area 11, Garki, Abuja"
Office space for rent,"₦250,000,000","Area 2, Garki, Abuja"
4 bedroom semi-detached duplex for rent,"₦20,000,000","Admiralty Estate, Asokoro District, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦2,500,000","Gwarinpa, Abuja"
4 bedroom detached duplex for rent,"₦10,000,000","Main Gwarimpa, Gwarinpa, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
5 bedroom detached duplex for rent,"₦35,000,000","Main Mabushi, Mabushi, Abuja"
5 bedroom semi-detached duplex for rent,"₦30,000,000","By Wuye Police Station, Wuye, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦3,000,000","Katampe (Main), Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","Katampe, Abuja"
4 bedroom semi-detached duplex for rent,"₦13,000,000","Kado, Abuja"
4 bedroom terraced duplex for rent,"₦23,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","Aso Radio, Katampe, Abuja"
Office space for rent,"₦180,000,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","By Aso Radio., Katampe (Main), Katampe, Abuja"
4 bedroom detached duplex for rent,"₦4,500,000","An Estate Along Von Road, After Trademore Estate, Lugbe District, Abuja"
3 bedroom detached bungalow for rent,"₦5,500,000","Ado Street, Galadimawa, Abuja"
3 bedroom flat / apartment for rent,"₦5,000,000","Golden Street., Kaura, Abuja"
1 bedroom detached bungalow for rent,"₦1,800,000","111a Gold Street, Kaura, Abuja"
1 bedroom detached bungalow for rent,"₦2,000,000","Hilda Bacy Street, Galadimawa, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","Grace Court, Katampe (Main), Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Katampe (Main), Katampe, Abuja"
28 bedroom terraced duplex for rent,"₦252,000,000","Gudu, Abuja"
2 bedroom terraced duplex for rent,"₦7,000,000","Katampe Main Behind Aso Radio, Katampe, Abuja"
4 bedroom flat / apartment for rent,"₦35,000,000","Bellavue Estate, Life Camp, Abuja"
Plaza / complex / mall for rent,"₦6,500,000","By Bannex, Wuse 2, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦13,000,000","Bellavue Estate, Life Camp, Abuja"
2 bedroom flat / apartment for rent,"₦3,000,000","Off Nizamiye Hospital, Idu Industrial, Abuja"
4 bedroom terraced duplex for rent,"₦13,000,000","Living Faith Church, Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦5,300,000","Idu Industrial, Abuja"
3 bedroom flat / apartment for rent,"₦5,300,000","Idu Industrial, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦2,700,000","Idu Industrial, Abuja"
4 bedroom detached duplex for rent,"₦45,000,000","Maitama District, Abuja"
5 bedroom detached duplex for rent,"₦100,000,000","Maitama District, Abuja"
4 bedroom semi-detached duplex for rent,"₦17,000,000","Mabushi, Abuja"
